"","garrett_3","garrett_4","garrett_5","garrett_7","garrett_8","garrett_9","garrett_10","garrett_11","garrett_12","garrett_13","garrett_14","garrett_15","garrett_17","garrett_18","garrett_19","garrett_21","garrett_28","garrett_30","garrett_31","garrett_36","garrett_43","garrett_46","garrett_48","25617X10","25617X11","25617X16","25617X17","25617X18","25617X19","25617X20","25617X21","25617X9"
"Laroyevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32971310793906e-06,0,0,0,0,0,0,0,0
"Roseolovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32971310793906e-06,0,0,0,0,0,0,0,0
"Rudivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00786665654731804,0.00200445460558818,0,0,0,0,0,0,0
"Gammaretrovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104861153346853,0,0,0,0,0,0,0,1.06594262158781e-05,0,0,0,0,0.000103546343941311,0,0,0.000851960283160618
"Bacteroides",39.724441097952,1.2888812157535,43.6315044689678,21.9805098327674,2.41409448456691,27.2113244198503,0.0135717436297628,45.0495711864485,9.77770658047763,2.08832503059659,1.11823826761544,13.0030185857372,0.0148684907627365,5.29970041525453,33.6003030271797,45.1091709467494,26.1628842655897,31.0147391643911,15.8991792676647,28.3014260158752,43.6903256261356,18.2093980587985,18.4913344690245,0.759500107020639,0.24902400747072,0.0249370754462905,11.4477908835473,28.8739620642041,1.21838545215286,41.2377668563475,70.0451542191749,0.237154762457983
"Phocaeicola",20.9718620168402,0.00801568608106941,22.4306738213889,36.624683972857,0.0273701642209853,6.93356713494056,0.00574189153566889,0.369346667676064,2.64175567168776,1.90517642597349,0.0440217303345328,2.1273842338015,0.0037598482388529,1.35160144818572,23.9221921027406,6.83967358820186,4.20299805602222,18.4367820678726,51.3469216049695,9.61953932405829,0.0654636787915494,7.36545701901477,3.46333924323703,0.0374892020012433,1.27483312915408,0.00333250008236792,4.30382678957915,14.4279835180439,0.0482821809463485,20.3495916478052,11.4877724141588,0.328856669299998
"Parabacteroides",0.317557170523727,0.00657697319472362,1.90977869747972,0.106073079602305,0.0568103408620452,3.39093624496003,0.00195746302352349,18.3743864435899,7.13773084129349,0.451191974212676,76.3213802107217,7.28334449688762,0.00239263069745185,4.73060506865002,5.26236587955185,0.180046600296547,4.2735092214479,6.55994002861752,0.109267077419822,5.46434660665754,3.6067369696106,11.5183697001016,3.79399057368365,0.934805030566971,0.0333682737283209,0.00519144570654594,10.0519546742796,3.81275226766866,0.0244517295049982,1.99058497802561,2.17850742054697,0.0186656752947008
"Tannerella",0.00185622446798941,0,0.000728957945504926,0.00109604789485734,0,0.00438987718708864,0.000521990139606263,0.000370798963616897,0.000638089010730306,0.00344750314584662,0.000431585591515027,0.000674450101863042,0.000170902192675132,0,0.00030921140783954,0.00534791882068953,0.00706269473065082,0.000926364035412759,0.000273167693549555,0.0121356677763561,0.00178132459296733,0.00175769783768012,0.00275343251277054,0.000415717622419246,0.000117909094446364,0.00310579939649255,0.0065642853310936,0.00845014479217,5.91693393950349e-05,0.0029623526741962,0.00267657305688171,0.000154901869665567
"Alistipes",5.67909496206401,0.00287742577269158,0.789917053697776,0.0274011973714336,0.0190901145406872,8.63872956954206,0.00391492604704697,6.75515371934535,0.791734127787735,1.16784169065554,0.00453164871090779,1.41752550159065,0.00341804385350264,0.112488866783108,11.5838839014234,17.9752989067176,12.2465968810677,21.105209301265,0.0379703094033881,16.9175703494173,0.0247158787274217,26.7467122261946,44.2542447753618,0.860055804228125,0.0218131824725773,0.00379345814364783,3.06232435741401,4.22471966261704,0.0062719499758737,5.0979691796209,5.0698250996214,0.0264107687779792
"Acetobacteroides",0.00118988747948039,0,0,0.000365349298285781,0,0.00164620394515824,0.000130497534901566,6.17998272694828e-05,0.000100750896431101,0.00107734473307707,0,0.000168612525465761,0,0,0.000257676173199617,0.00199236191359022,0.00231563761660683,0,0.000136583846774777,0.00269681506141247,0,0.000351539567536024,0.00011971445707698,2.66485655396953e-05,0.000235818188892727,6.80102057626105e-05,0.00235047693673667,0.00259420709900978,0,0.000603298978034735,0.000539631664693893,0
"Segatella",0.0298423779853682,0,0.00328031075477217,0.00353170988342922,0.00046000276001656,0.0220713269684179,0.000782985209409394,0.00957897322676983,0.00285460873221453,0.0015082826263079,0.000107896397878757,0.00712387920092838,0,0.00419302973870195,0.00639036909535049,0.00492847420730211,0.0210723023111221,0.00534440789661207,0.00245850924194599,0.00943885271494365,0.002671986889451,0.00949156832347265,0.00682372405338786,0.428428988181681,0.0633171837176973,0.0108891896115469,9.52233010938425,23.7176353692678,0.0192892046427814,0.041008861301797,0.0536465825594356,0.0587078086032498
"Paraprevotella",0.0820070450857885,0,0.00546718459128695,0.0108386958491448,0.00437002622015732,0.0246320886608863,0.000130497534901566,0.0146156591492327,0.00842949166806878,0.113767603812938,0.00161844596818135,0.052775720470783,0,0.0292066209385446,0.0157697817998165,0.0995132345261639,0.0507124638036895,0.0153206359702879,0.00737552772583798,1.99804031438871,0.00155865901884641,0.0402512804828747,0.048125211744946,0.0288550667663821,0.00518800015564,0.00128463721996042,0.0200095005547065,0.0239268526910837,0.000192300353033863,0.0162890724069378,0.0177934547571733,0.000851960283160618
"Prevotella",0.0397898373138243,0.00123318247401068,0.00373590947071275,0.0108386958491448,0.00069000414002484,0.0364603688594306,0.00469791125645637,0.027717222530363,0.00708614638232077,0.0118507920638478,0.00118686037666632,0.00881000445558599,0.00222172850477672,0.00607266375949938,0.0295296894486761,0.0332409856109525,0.0543017021094301,0.0568645000199525,0.00491701848389198,0.0280169120268962,0.161209875663543,0.0486882301037393,0.0251400359861658,0.00461020183836728,0.0608410927343237,0.0627885332979479,0.150686275327683,0.172988362437545,0.0268480877504971,0.107240260646815,0.134886330906886,0.00170392056632124
