"","garrett_67","garrett_53","garrett_47","garrett_50","garrett_60","garrett_76","garrett_35","garrett_34","garrett_95","garrett_49","garrett_39","garrett_85","25617X30","25617X31","25617X32","25617X37","25617X38","25617X39","25617X40","25617X41","25617X42"
"Mesobacillus",0.00134242603232562,0.00322071564301588,0,0,0,0,0.000913066900411793,0,0,0,0.00204821498064437,0,0.00149521531100478,0.00149622203935064,0.00197180321403924,0.000551749708676154,0.000480748429154508,8.91973929385992e-05,9.8773236403864e-05,0,0.000589407174264125
"Halobacillus",0.00402727809697686,0,0,0.00423513467728274,0,0,0.000456533450205897,0,0,0,0.000682738326881456,0,0.00149521531100478,0,0,0.000551749708676154,0.000961496858309015,0.000178394785877198,4.9386618201932e-05,0.000189487606563093,0.00176822152279238
"Neobacillus",0.00268485206465124,0,0,0,0,0,0.00182613380082359,0,0,0.0589970501474926,0.00136547665376291,0.0113224637681159,0,0,0.0276052449965493,0.00154489918429323,0.000721122643731762,0.00107036871526319,0.00049386618201932,0.000947438032815464,0.00176822152279238
"Parageobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000220699883470462,0.000240374214577254,8.91973929385992e-05,0.000148159854605796,0.00151590085250474,0
"Cytobacillus",0,0,0,0,0.0058503480957117,0,0,0,0,0,0.000682738326881456,0.0113224637681159,0.00299043062200957,0,0,0.000551749708676154,0.000721122643731762,0.000535184357631595,0.000345706327413524,0.000568462819689278,0.00353644304558475
"Priestia",0.00134242603232562,0.00322071564301588,0.00341892030496769,0,0,0,0.000913066900411793,0,0.00216459586995108,0.0589970501474926,0.00341369163440728,0.0113224637681159,0.00149521531100478,0.00448866611805192,0.00591540964211772,0.000662099650411385,0.000120187107288627,0.000178394785877198,0.000148159854605796,0.000568462819689278,0.00176822152279238
"Virgibacillus",0,0,0,0.00423513467728274,0,0.0143513203214696,0.000456533450205897,0,0.00216459586995108,0.0589970501474926,0.00136547665376291,0,0,0.00149622203935064,0.00197180321403924,0.000275874854338077,0.000360561321865881,0.000267592178815798,9.8773236403864e-05,0.000757950426252371,0
"Oceanobacillus",0,0,0,0,0,0.0143513203214696,0,0,0,0,0.00273095330752583,0,0,0,0,0.000165524912602846,0,0,0.000197546472807728,0.000378975213126186,0
"Paraliobacillus",0,0,0,0,0,0,0.000456533450205897,0,0,0,0,0,0.00149521531100478,0,0,0.000331049825205692,0.000120187107288627,8.91973929385992e-05,0,0,0
"Geobacillus",0,0,0,0,0.0058503480957117,0,0,0,0,0,0,0,0,0.0448866611805192,0.0295770482105886,0.000441399766940923,0,8.91973929385992e-05,4.9386618201932e-05,0,0.00412585021984888
