"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Christiangramia",0.582456390108433,-1.36899761229484,2.69603858466577,-0.507781164587654,0.611606820429567,0.999750903113572
"Urechidicola",0.444527937420158,-0.0805094126171023,3.17728642889527,-0.0253390477751466,0.979784528300274,0.999750903113572
"Formosa",0.308874045890437,-0.738916168576014,3.16540388842124,-0.233435035345379,0.815423610256991,0.999750903113572
"Winogradskyella",0.521461230132564,-0.269978760823706,2.22873978283851,-0.121135164770049,0.903583976790704,0.999750903113572
"Allomuricauda",0.324405131850514,-0.775596965706252,3.16560433149933,-0.245007551319247,0.806450584424462,0.999750903113572
"Lutimonas",0.0640171937623813,0.429745856752108,3.18154519768638,0.135074572275327,0.892552914292403,0.999750903113572
"Arenibacter",0.12971466860867,-0.204109273648702,3.19375854155224,-0.063908799301246,0.949042845775088,0.999750903113572
"Mesoflavibacter",0.338469096202619,-0.820263459669227,2.71812461204872,-0.301775516852031,0.762823195975293,0.999750903113572
"Seonamhaeicola",0.323686432444075,-0.497714024606554,3.15789443015001,-0.157609456432307,0.874764551559728,0.999750903113572
"Paenimyroides",0.295322131862104,-0.160394769043246,3.1562126635697,-0.0508187458008101,0.959469953187656,0.999750903113572
"Salegentibacter",0.0496957706282593,-0.27541371457968,3.1822001424215,-0.0865482063520064,0.931030636675368,0.999750903113572
"Hwangdonia",0.0522637618968355,-0.0253336389752681,3.19439854446395,-0.00793064441479057,0.993672327594244,0.999750903113572
"Candidatus Arcticimaribacter",0.0194264360494145,-0.0103792202727414,3.19360123174629,-0.00325000509442625,0.997406875677621,0.999750903113572
"Nonlabens",0.231717195985968,-0.55091968501302,2.72035071016685,-0.202517889680199,0.839511874215175,0.999750903113572
"Pukyongia",0.0886946738615114,0.454820283565416,3.1884744888569,0.142645106666189,0.88657047175251,0.999750903113572
"Flaviramulus",0.0859632415075733,-1.00442975818557,3.18019036575753,-0.315839507282551,0.752124329354422,0.999750903113572
"Changchengzhania",0.00938803332667516,-0.227375177418607,3.19511119623957,-0.0711634630075513,0.943267659959074,0.999750903113572
"Aureibaculum",0.0205357227549169,0.154684093498792,3.1902218171236,0.0484869398950634,0.961328172654159,0.999750903113572
"Antarcticibacterium",0.180685436005337,0.215092948372539,3.17726468686778,0.0676975227344318,0.946026421360739,0.999750903113572
"Olleya",0.220357352914518,0.5089291240488,3.18320314784652,0.159879561690273,0.872975948810469,0.999750903113572
"Lutibacter",0.349655233909118,-0.683903881541354,2.71992301437727,-0.251442367275213,0.801472115228896,0.999750903113572
"Psychroflexus",0.0399621588043314,-0.103365339310132,3.18652073666527,-0.0324383074369399,0.974122513634441,0.999750903113572
"Croceibacter",0.22117246176542,0.546270696274663,3.19455324717777,0.171000654553893,0.864223250916878,0.999750903113572
"Aegicerativicinus",0.0949370334353229,0.557249056184977,3.1911121878933,0.174625341690935,0.861374034748906,0.999750903113572
"Abyssalbus",0.185504381581549,-0.246479231795858,3.18355396681501,-0.0774226648472522,0.93828731095545,0.999750903113572
"Bizionia",0.0428757285701604,0.4414820849782,3.19706495009709,0.138089807954885,0.890169440680595,0.999750903113572
"Mangrovimonas",0.0243114462840626,-0.52349567926024,3.19009182263157,-0.164100505053299,0.869652024228369,0.999750903113572
"Flavivirga",0.125057486159464,-1.49605652609845,3.16070412819069,-0.473330139558127,0.635977662549971,0.999750903113572
"Mariniflexile",0.00938803332667516,-0.227375177418607,3.19511119623957,-0.0711634630075513,0.943267659959074,0.999750903113572
"Elizabethkingia",1.29110341764589,-0.530817022705354,1.42806876647503,-0.371702704496223,0.710114211165336,0.999750903113572
"Chryseobacterium",9.13203539521968,-0.30787199386035,0.625744772647911,-0.492008894549057,0.622713055729825,0.999750903113572
"Kaistella",0.598248718263101,-0.890721042193619,2.40207391835347,-0.370813335671274,0.710776567966882,0.999750903113572
"Epilithonimonas",2.56075729069718,-1.09691426332054,1.74505938065488,-0.628582772300213,0.529622241823484,0.999750903113572
"Ornithobacterium",1.11102241872409,-1.21788817292046,1.89833436411855,-0.64155619575794,0.521161382413198,0.999750903113572
"Riemerella",0.691028892716542,-1.26936350480331,1.84697878262374,-0.687264800627597,0.491915875894474,0.999750903113572
"Cruoricaptor",0.391942610737853,0.0458583228719223,3.07315093900129,0.0149222487870463,0.988094209932671,0.999750903113572
"Empedobacter",0.89843664116217,0.166603714119091,1.54623014173255,0.107748329063364,0.914195331593612,0.999750903113572
"Faecalibacter",0.523093775233348,-0.514672223635487,2.43036011025114,-0.211767886357509,0.832288123269828,0.999750903113572
"Cloacibacterium",5.20824978860135,1.18091898044591,1.04130876599538,1.13407187090861,0.256764401729512,0.999750903113572
"Apibacter",0.765522218610519,-1.00494803029393,2.47455008591843,-0.406113432907521,0.684659256202036,0.999750903113572
"Weeksella",0.0215437564687065,-0.710591248078438,3.19351794023314,-0.222510491995721,0.823916506551588,0.999750903113572
"Croceimicrobium",0.125289949195457,-0.634733010600185,3.18220587219935,-0.199463213912523,0.841900416192863,0.999750903113572
"Owenweeksia",0.134296392393031,-0.941408965414712,3.17595011651574,-0.296418057865313,0.766910836469647,0.999750903113572
"Blattabacterium",0.310943171712985,-0.0823645383876445,2.82552718228541,-0.0291501490072463,0.976744839647816,0.999750903113572
