"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Hydrogenophaga",19.7744096937466,0.345238147962111,0.603779863411391,0.571794736597368,0.567461043538867,0.848694126416811
"Acidovorax",75.0154592895227,0.067149597119913,0.646867233607949,0.103807386788447,0.91732220433408,0.980065528357328
"Rhodoferax",11.4409061609713,-0.161677183399371,0.481902796980245,-0.33549749952167,0.737249830626037,0.907450197557106
"Polaromonas",7.08327073330108,-0.668345293321666,0.734007036066217,-0.910543442340208,0.362535982158772,0.674825749246416
"Delftia",11.295701394615,-0.656097016048056,0.641025574070685,-1.02351145194046,0.306066088080072,0.636737037414818
"Variovorax",37.7653335821179,-0.440073106820675,0.516550917197667,-0.851945262643438,0.394244473326792,0.710837978811256
"Diaphorobacter",42.4357739481823,-0.956798563725893,0.641441549286187,-1.49163795951579,0.135794081316962,0.433968434570169
"Ottowia",10.0645216238996,-0.710504162115415,0.675251036681888,-1.05220743622514,0.292704388508756,0.626628816374969
"Paracidovorax",1.91981869266975,-0.41705698048157,1.15346873131516,-0.361567651691824,0.717675141598552,0.892662845692605
"Alicycliphilus",10.5216925829548,-2.05396419793105,0.807571560459909,-2.54338351979771,0.0109784654003561,0.0677218127312665
"Ramlibacter",6.16528293632731,-0.291091202456844,0.751556851837889,-0.387317608435074,0.698521091258524,0.885159568838349
"Limnohabitans",3.42840040761924,-1.02496390746865,0.712777477699872,-1.43798582241431,0.150438076866891,0.462533848900359
"Melaminivora",5.91383883250318,-1.75542927883885,1.09731896907514,-1.59974385598965,0.109655418458919,0.374097745932198
"Paraburkholderia",96.4287901030908,-0.412142979000184,0.494518120434734,-0.833423411538219,0.404605975602175,0.718587269120757
"Cupriavidus",43.1481845380169,-0.354139985391466,0.580836165208276,-0.60970718871212,0.542055791681092,0.833948870153849
"Burkholderia",82.7221774433217,-0.212766645892449,0.512973278719847,-0.414771401784163,0.678309256820814,0.885159568838349
"Pandoraea",29.4938482579198,0.126347535099013,0.58463842419021,0.216112266780992,0.828900238137206,0.94495435318401
"Caballeronia",13.4905430020665,0.915892846318357,0.685802525536614,1.33550521063145,0.181711051025097,0.502331625617153
"Ralstonia",24.0310237249669,-0.178732694501128,0.611300277882697,-0.292381176596528,0.769995198660021,0.914505283260985
"Polynucleobacter",12.7665333875218,0.064417120422777,0.501839264938698,0.128362057183082,0.897862456687075,0.973982293412816
"Lautropia",9.75253212040042,-0.43563722478745,0.841584157602235,-0.517639526424342,0.604709798419663,0.855917706008721
"Trinickia",5.47409152811029,0.85793599812171,0.776468239343836,1.104920915821,0.269193858523826,0.612907046982358
"Sutterella",3783.46050449314,0.530326404804308,0.599714083277579,0.884298734333449,0.376534971333605,0.691182706894386
"Duodenibacillus",129.833631887307,-0.69698401349785,0.734802324745006,-0.948532673382219,0.342858347473906,0.661629707110178
"Achromobacter",32.7954126045606,-0.3154639806853,0.461997714981845,-0.682825846222412,0.494716895563626,0.791794987714868
"Advenella",2.7735010404744,0.253321142925111,0.651720091623971,0.388696230453598,0.697500871189148,0.885159568838349
"Bordetella",30.7418048863482,0.0247660070956103,0.53979693388256,0.0458802292882206,0.963405712323112,0.991819674021154
"Alcaligenes",7.06056728919588,-0.204488617904945,0.496309351823145,-0.412018466212204,0.680325888275737,0.885159568838349
"Pollutimonas",4.83712633344588,-0.306869305075938,0.818521188116731,-0.374906978012369,0.707729649260987,0.885159568838349
"Kerstersia",2.57379504728782,-1.55911479543946,1.16587018074033,-1.33729708606958,0.181125681790139,0.502331625617153
"Roseateles",18.9763783121636,-0.00306895852344334,0.606964776792225,-0.00505623825432278,0.995965722750892,0.999918754338499
"Methylibium",3.25789238797839,-2.00511338594632,1.00193569658341,-2.00123959330298,0.0453665760366452,0.202913653088815
"Sphaerotilus",2.17415809814237,0.207697494540261,0.851466545215195,0.243929131106106,0.807285707158138,0.936001478051791
"Ideonella",2.50673976165907,-2.21739289661729,1.10558099357027,-2.00563586884452,0.044895112060349,0.202697257271728
"Aquincola",2.22804931684259,-0.575277479437116,1.04497347592519,-0.550518738217524,0.581963628175087,0.852023073739913
"Piscinibacter",8.19057214890347,0.0871907198836099,0.753568866790957,0.115703718301033,0.907887359269817,0.973982293412816
"Aquabacterium",2.11869958329009,-1.36160509262163,0.890295817188342,-1.52938502723931,0.12616902204274,0.413164606133788
"Neisseria",39.0936402692485,-0.132961530321933,0.440351223009193,-0.301944273966869,0.762694544187021,0.914505283260985
"Vitreoscilla",2.0063332361732,-0.658677827410136,0.797298283920936,-0.826137269693978,0.408726227979059,0.722764213142969
"Eikenella",26.433923292948,-1.79111550236711,1.10055189244195,-1.62747028528833,0.103637254579547,0.358173052471986
"Aquitalea",3.77226340852205,0.107134284608031,0.711630399088696,0.150547650501196,0.880332559420959,0.966706316043064
